customerId,comment,orderdate,next_purchase_days,non-meals,total_meat,total_white_meat,total_fish,total_vegetarian,total_vegan,language,totalLunch,TotalDinner,total_discounts,total_vouchers,mealPrice,voucherDiscount,planos,creditos,email_newsletter_weekly,email_marketing,classification,churn
75,Gostaria de receber meu dinheiro de volta. Mandei um email com a foto do pedido. Acredito que deveria haver uma forma mais fácil de pedir ressarcimento e contato para casos de pedidos incorrectos.,2024-01-15T00:00:00Z,2,15,0,8,1,0,0,pt,29,0,0,0,156.3,0,0,0,FALSE,FALSE,M,FALSE
634,Mais seriedade e um serviço de apoio ao cliente que realmente funcione e dê respostas nestas situações. Aguardo o reembolso,2024-01-05T00:00:00Z,3,0,0,3,0,1,0,pt,15,1,0,3,79.505,25.89,0,0,FALSE,FALSE,F,FALSE
292,Pouca variedade nos pratos vegetarianos,2023-12-15T00:00:00Z,7,30,0,0,0,18,13,pt,61,0,1,0,0,0,0,0,TRUE,TRUE,F,FALSE
313,Há umas rodelas extremamente picantes no prato que parecem pickles. Acho que se fossem retiradas o prato seria 5 estrelas.,2023-12-15T00:00:00Z,0,1,0,7,3,0,0,pt,6,15,7,0,121.9,0,10,1,TRUE,TRUE,0,FALSE
415,Feijoada sempre otima!,2023-12-15T00:00:00Z,3,3,0,24,12,0,0,pt,79,3,0,3,570.55,23.7,0,0,TRUE,TRUE,F,FALSE
686,Comida muito demorada e fria,2023-12-15T00:00:00Z,4,4,0,11,10,15,4,pt,8,48,0,0,395.95,0,0,0,TRUE,TRUE,F,FALSE
1167,Entregador fala português e teve dificuldade em chegar ao local,2023-12-15T00:00:00Z,0,1,0,0,0,3,0,pt,4,0,0,0,24.65,0,0,0,TRUE,TRUE,0,FALSE
4,Veio com quantidade excessiva batata e pouca carne. A carne que veio era essencialmente composta por gordura.,2023-12-14T00:00:00Z,0,2,0,0,0,1,0,pt,4,0,0,0,17.4,0,0,0,FALSE,FALSE,0,FALSE
34,"Cuidado com os motoristas, pois este tipo de problema nao deveria acontecer, o motorista só falava  ingles. E nao consegui encontrar o endereco",2023-12-14T00:00:00Z,0,27,0,6,2,0,0,pt,44,4,0,2,235.5,3.44,0,0,TRUE,TRUE,F,FALSE
100,Muita batata e pouco porco,2023-12-14T00:00:00Z,29,0,0,3,1,1,0,pt,7,0,3,0,41.3,0,2,0,TRUE,TRUE,F,FALSE
219,"Sou cliente regular, e os pratos disponíveis são sempre repetidos. Vários outros colegas se queixam do mesmo ...",2023-12-14T00:00:00Z,1,0,0,40,18,0,0,pt,86,0,9,52,470.42,42.31,8,3,TRUE,TRUE,M,FALSE
372,Pouca qualidade. 2/3 edamames 3/4 bocados de manga. Arroz todo colado.,2023-12-14T00:00:00Z,28,0,0,7,1,1,0,pt,13,0,0,1,87.03,9.67,0,0,FALSE,FALSE,0,FALSE
655,"Eu já tinha dado esta opinião mas não houve mudança. O bobo de camarão, apesar de saboroso, vem muito mal servido. É uma caixa cheia de arroz…com 6 camarões. Isto não é uma dose individual decente… revejam as quantidades pf, não vale o preço. Mas sabor bom.",2023-12-14T00:00:00Z,26,19,0,8,7,5,1,pt,28,12,0,4,163.77,42.28,0,0,FALSE,TRUE,F,FALSE
671,"batatas fritas horriveis, devem ter sido fritas de manhã. carne não era em cubos fritos mas pedaços guisados",2023-12-14T00:00:00Z,4,0,0,67,18,8,5,pt,156,0,1,0,13.3,0,0,0,TRUE,TRUE,M,FALSE
1047,Não esquecer de actualizar o url para o form no email automatico. O typeform agora indica que ha um redirect. http://url8994.eat.com/ls/click?upn=ldHAaz-2Bcs8rkil9TQwvzGR8f6PZ-2BJaXdD38W6YdCqN4k6-2B8dH2iocrB43IPG5AT-2BBHvSr2YH421r6Zv2oNLTnZb-2BeIMR0codkNLtfuW085u0RiMl9Ggl-2Bq4dHxsnQIftGPS1XTrBInA-2F28WVXUngwUa2RRjF9dyzlgug86SxoedHiBpZ13ro8c2wosd-2FQdinGgdQVjNcuTsZRJb6tU0ccG-2F6pFDguqUgTgkpKPyOf-2FtpBsoeP6jTJ5LnIJChZvsXpgMA1qPZIkp8AabAbF7-2Fcg-3D-3D-RrT_clChNa5lFuz-2B3uI7UzEYxGfaWKk-2FjCesmrHkpuMC-2F2PXuEfOjdI5QnOO67MAws1kVabCc1WZw9h2dncfHfLFk0a4IL-2FH1FCXozXYQaWge9nog3PTomlRSl23J4wQeJz4xgJv4NQwRvXG5V8Ff0U44XmbI-2FD2AVhpDVq-2FV-2BlRQlfYlRsKdtrqMRCC37D-2Bk2YPUyFn7fgQScfCx2qkzIMt1bQdc5A6y1H-2BzObJPDkZbc6u7dgvqrLbMV680nHPYqPf1hiWlSKbWZno5Qqmkuh5nT98e8mwYzqYo7npkrynEQM7lW3mkafbk50TZ-2FSFiDovH2UTzsbCyR2waaP6GA11feWncGoT-2F-2BNIOgciLJPOCzmhvhgYHc1aF7e-2BcOHIu43d,2023-12-14T00:00:00Z,13,28,0,45,11,2,0,pt,114,0,11,2,597.77,16.63,12,0,FALSE,FALSE,0,FALSE
