customerId,comment,lastOrder,CurrentData,Churn?
1,Antecipar a hora de entrega do jantar. Obrigada.,2024-01-26,27/01/2024,FALSE
2,"A esmagada e o ovo estavam ótimos. Mas a batata estava incomestível. E batata havia muita, já o resto nem por isso",2024-01-26,27/01/2024,FALSE
3,"Muito saboroso, mas tinha várias espinhas.",2024-01-26,27/01/2024,FALSE
4,more quantity for the pineapple,2024-01-26,27/01/2024,FALSE
5,"Pouco choco, batata mole ensopada no molho",2024-01-26,27/01/2024,FALSE
6,Please stop using plastics,2024-01-26,27/01/2024,FALSE
7,Entrega depois do horário definido,2024-01-26,27/01/2024,FALSE
8,Estava demasiado salgado…,2024-01-26,27/01/2024,FALSE
9,Não tinha molho de maracujá.,2024-01-26,27/01/2024,FALSE
10,Hora da entrega,2024-01-26,27/01/2024,FALSE
11,Pouca variedade nos pratos vegetarianos,2024-01-26,27/01/2024,FALSE
12,Entrega fora de horas,2024-01-26,27/01/2024,FALSE
13,"18 MINUTOS PARA ALÉM DO LIMITE MAXIMO. SEM AVISO DE ATRAS, E SEM PEDIDO DE DESCULPA",2024-01-26,27/01/2024,FALSE
14,"A refeição hoje era má, nada recomendável",2024-01-26,27/01/2024,FALSE
15,"Sou cliente regular, e os pratos disponíveis são sempre repetidos. Vários outros colegas se queixam do mesmo ...",2024-01-26,27/01/2024,FALSE
16,as batatas fritas eram de pacote,2024-01-26,27/01/2024,FALSE
17,Molho estava todo entornado e portanto não havia molho,2024-01-26,27/01/2024,FALSE
18,"Não cheguei a comer, quando aqueci cheirou-me a qualquer coisa azeda, pelo que detei para o lixo",2024-01-26,27/01/2024,FALSE
19,Cheirava e sabia mal não consegui comer estava horrível.,2024-01-26,27/01/2024,FALSE
20,A jardineira estava estragada (azeda e a carne mal cozinhada),2024-01-26,27/01/2024,FALSE
21,Sabor um pouco mais intenso do que esperava,2024-01-26,27/01/2024,FALSE
22,It didn't taste like lasagna,2024-01-26,27/01/2024,FALSE
23,Uma delícia como já estou habituado.,2024-01-26,27/01/2024,FALSE
24,O atraso,2024-01-26,27/01/2024,FALSE
25,O hambúrguer trazia meia dúzia de batatas,2024-01-26,27/01/2024,FALSE
26,Didn't look like the image - the rolls were small and flat.,2024-01-26,27/01/2024,FALSE
27,"Serviço de entrega excelente! Porém, nunca comi um strogonoff tão ruim na minha vida!",2024-01-26,27/01/2024,FALSE
28,Mau em tudo... arroz cozido demais... carne dura com tudo... molho horrivel,2024-01-26,27/01/2024,FALSE
29,"Estava semi-vazio o prato hoje. E o do meu colega, estrogonoff tbm, mesma coisa. Se não tiverem suficiente, não vendam, mas nao entreguem estas doses ridículas",2024-01-26,27/01/2024,FALSE
30,Atraso de 1hr na entrega,2024-01-26,27/01/2024,FALSE
31,Deveria ser possível reutilizar as embalagens de plástico ou entregar as antigas para reutilização.,2024-01-26,27/01/2024,FALSE
32,Salmão com mau sabor é mau aspecto,2024-01-26,27/01/2024,FALSE
33,"I understand that our order is big, but it was cold - very cold.",2024-01-26,27/01/2024,FALSE
34,o hamburger e pequeno e as batatas Fritas são em muito pouca quantidade,2024-01-26,27/01/2024,FALSE
35,Batatas cruas,2024-01-26,27/01/2024,FALSE
36,Pouco feijão e couve,2024-01-26,27/01/2024,FALSE
37,"normalmente este prato é muito bom, mas desta vez vinha sem tempero, muito seco, e perdeu o sabor que antes tinha. alguns vegetais mais crus. faltou o alho em azeite também",2024-01-26,27/01/2024,FALSE
38,O puré não estava em condições. Para além de que a combinação puré doce com carne não combina bem,2024-01-26,27/01/2024,FALSE
39,"Comida fria, a nadar em molho/ água, indiciadora de ter estado no frigorífico, umas boas horas ou dias...",2024-01-26,27/01/2024,FALSE
40,The potatoes aren't cooked enough,2024-01-26,27/01/2024,FALSE
41,"It was ice cold unfortunately, if it was warm it would have been a great meal as the flavours are all there",2024-01-26,27/01/2024,FALSE
42,Nada,2024-01-26,27/01/2024,FALSE
43,"Pouco pato, muito arroz. Se voltar a acontecer semelhante deixo de pedir.",2024-01-26,27/01/2024,FALSE
44,The taste,2024-01-26,27/01/2024,FALSE
45,mais variadades de uma semana à outra,2024-01-26,27/01/2024,FALSE
46,A refeição tinha apenas dois pedaços pequenos de bróculos. Não estava de acordo com a imagem.,2024-01-26,27/01/2024,FALSE
47,"Pensava que a batata vinha desfiada e não inteira, mas o artigo estava muito saboroso",2024-01-26,27/01/2024,FALSE
48,Estava otimo. Nada a apontar,2024-01-26,27/01/2024,FALSE
